Group,Condition,ResponseId,prop_yes_False,prop_yes_True,discernment
Belief,Control,R_26fiU1pJc2xwhqd,0.05,0.55,0.5
Belief,Control,R_273V9fwIP3eoP04,0.05,0.85,0.7999999999999999
Belief,Control,R_27K9FoPWRU9rDxx,0.3,0.45,0.15000000000000002
Belief,Control,R_27m2TI9sLX9idge,0.1,0.65,0.55
Belief,Control,R_29tTNfdh9Qbs4qm,0.35,0.85,0.5
Belief,Control,R_2AYXhXLJpJXA3kD,0.2,0.75,0.55
Belief,Control,R_2Ba3vuXiDkywmlv,0.0,0.5,0.5
Belief,Control,R_2CWEwx5VpW7og4G,1.0,1.0,0.0
Belief,Control,R_2E6TXHahr8VG58L,0.25,0.8,0.55
Belief,Control,R_2EyiZht7x5mMR6W,0.0,0.55,0.55
Belief,Control,R_2PbccXYDChGc4PW,0.1,0.9,0.8
Belief,Control,R_2Ph6zsR73wuU2MU,0.05,0.7,0.6499999999999999
Belief,Control,R_2PokclqC9FfeyOR,1.0,1.0,0.0
Belief,Control,R_2PvtwaQ5wV8zXfI,0.4,0.85,0.44999999999999996
Belief,Control,R_2QEyIditjNQrwI3,0.05,0.7,0.6499999999999999
Belief,Control,R_2QlbhpBbteF6gwp,0.3,0.65,0.35000000000000003
Belief,Control,R_2WOs6P79v8Cs1QC,0.0,0.95,0.95
Belief,Control,R_2XaJFRJJcfArk88,1.0,0.95,-0.050000000000000044
Belief,Control,R_2XoAIv79w36vxLI,0.15,0.7,0.5499999999999999
Belief,Control,R_2YRKuME4Y2bkBcc,1.0,1.0,0.0
Belief,Control,R_2YYBti4O0OLNVTQ,0.0,0.6,0.6
Belief,Control,R_2YntUXiMwafYE95,0.0,0.75,0.75
Belief,Control,R_2Ysob9Stk9OxBiG,0.8,0.9,0.09999999999999998
Belief,Control,R_2YtTMjOfNuHPz2E,0.0,1.0,1.0
Belief,Control,R_2ZW78KUtdBv0gCT,0.0,0.55,0.55
Belief,Control,R_2ZZXgoV5iG1yaLU,0.1,0.75,0.65
Belief,Control,R_2aS0aPwFuu53ReZ,0.35,0.75,0.4
Belief,Control,R_2ayNZM5WXVyjrZU,0.15,0.95,0.7999999999999999
Belief,Control,R_2cpf2wQk5ZIHex2,0.15,0.8,0.65
Belief,Control,R_2cwkpsXQyJT53JS,0.0,0.1,0.1
Belief,Control,R_2dL0liROYkvurxZ,1.0,0.95,-0.050000000000000044
Belief,Control,R_2eWlXMIiaZjBxPv,1.0,1.0,0.0
Belief,Control,R_2fE9r00RpcHX92A,1.0,1.0,0.0
Belief,Control,R_2qDlVvI6b43Oarx,0.8,0.75,-0.050000000000000044
Belief,Control,R_2rMxfDYVJ7ddcG7,0.1,0.8,0.7000000000000001
Belief,Control,R_2rYKHpUZ3CDAYNK,0.35,0.5,0.15000000000000002
Belief,Control,R_2rwmebXLVyL0Iqu,0.05,0.75,0.7
Belief,Control,R_2sdlQaE5nHtwUid,0.05,0.45,0.4
Belief,Control,R_2tD0oxQv5yfX70N,0.65,0.6,-0.050000000000000044
Belief,Control,R_2teOr3RrPnnjiSf,0.05,0.45,0.4
Belief,Control,R_2v7ZIlVm2jDYwtX,0.15,0.8,0.65
Belief,Control,R_2vjkkjjlqts3DgD,1.0,1.0,0.0
Belief,Control,R_2w4511dNzMrxCht,1.0,1.0,0.0
Belief,Control,R_2wFg1fEjuIK5xra,0.0,0.65,0.65
Belief,Control,R_2wsHkCofXRqLbRi,0.45,0.55,0.10000000000000003
Belief,Control,R_2xS1ESkKHSrwoLV,1.0,1.0,0.0
Belief,Control,R_2zD83ngByG0tJnO,0.2,0.65,0.45
Belief,Control,R_2zSd8hZpXyS9QWX,0.0,0.65,0.65
Belief,Control,R_30egVbGrYRKGnK5,1.0,1.0,0.0
Belief,Control,R_30wtbrhI8bBxchX,1.0,1.0,0.0
Belief,Control,R_31AvEPxgviLEJ0G,0.05,0.95,0.8999999999999999
Belief,Control,R_31EqAgoz8XbYnq2,0.2,0.75,0.55
Belief,Control,R_31SkB3zxa1zcD3g,0.05,0.8,0.75
Belief,Control,R_32PlUtxGF7wAIDf,0.05,0.85,0.7999999999999999
Belief,Control,R_339BXG75YJ0AQ5L,0.15,0.55,0.4
Belief,Control,R_37WOqpvdpnsOu41,0.05,0.55,0.5
Belief,Control,R_3CQ1xl0KZ0NTqoS,0.25,0.95,0.7
Belief,Control,R_3CUkoinR5YCoVxX,0.15,0.35,0.19999999999999998
Belief,Control,R_3D6pEwmoxySlmiy,0.2,1.0,0.8
Belief,Control,R_3DjuIiXxNuFh2vp,0.0,0.15,0.15
Belief,Control,R_3EF2EXiHfo0CxFF,1.0,1.0,0.0
Belief,Control,R_3ER9zxowdNgeWC0,0.15,0.2,0.05000000000000002
Belief,Control,R_3HCFDa8BuAFMRV5,0.05,0.5,0.45
Belief,Control,R_3HkbqdhcPRnKwkX,0.0,0.6,0.6
Belief,Control,R_3IRfea0VkktrL7Q,0.3,0.65,0.35000000000000003
Belief,Control,R_3IWhpGZpjVIbkwf,0.2,0.8,0.6000000000000001
Belief,Control,R_3JFpY1NDvVm5Dk8,0.8,0.8,0.0
Belief,Control,R_3Jq4eabYua9F1Pw,0.45,0.55,0.10000000000000003
Belief,Control,R_3JyHdcGwbKuIVVm,0.05,0.65,0.6
Belief,Control,R_3Kr6UNIIjz6Ql7X,1.0,1.0,0.0
Belief,Control,R_3Ky0dG5xlDVkhBk,0.0,0.9,0.9
Belief,Control,R_3L0TBvDvEfST2tQ,0.05,0.9,0.85
Belief,Control,R_3LjuYd8PZEMjyoi,0.35,0.8,0.45000000000000007
Belief,Control,R_3MDlSsmedwmBHiq,0.3,0.8,0.5
Belief,Control,R_3MR4p7oZJnIRrtV,0.1,0.2,0.1
Belief,Control,R_3MxoKuBv4IIQIKX,0.05,0.95,0.8999999999999999
Belief,Control,R_3NUiOkRraF9c4ie,0.25,0.4,0.15000000000000002
Belief,Control,R_3NwcsKkmVbMnpcC,1.0,0.95,-0.050000000000000044
Belief,Control,R_3O1SkBksS0ZtowP,0.2,0.85,0.6499999999999999
Belief,Control,R_3O8u5MhJfRHu1qR,1.0,1.0,0.0
Belief,Control,R_3QW20BOfIZxvGV3,0.0,1.0,1.0
Belief,Control,R_3R2YS2biP90ngBp,0.1,0.7,0.6
Belief,Control,R_3R3YZDZrJr0P5cg,0.0,0.1,0.1
Belief,Control,R_3dGQAcRNqb030HR,0.0,0.9,0.9
Belief,Control,R_3dVQj1NDFnyr5Lt,0.1,0.85,0.75
Belief,Control,R_3eq9JBRrp0DeZ9b,0.55,0.85,0.29999999999999993
Belief,Control,R_3fJA8N3YIN7i26J,0.6,0.75,0.15000000000000002
Belief,Control,R_3fqspgzGPuSHELB,0.1,0.65,0.55
Belief,Control,R_3g6mHD8BsOnyotF,0.8,0.65,-0.15000000000000002
Belief,Control,R_3g8eEL4EE6DrleQ,0.1,0.25,0.15
Belief,Control,R_3gSeRrxAvMJ4EUr,0.05,0.75,0.7
Belief,Control,R_3gYtPMK8i36et6e,0.0,0.35,0.35
Belief,Control,R_3h3kETWFkIZ6mIb,0.15,0.75,0.6
Belief,Control,R_3hEXVRamQe6qunj,0.25,0.7,0.44999999999999996
Belief,Control,R_3iJAWIO0lFzxcix,0.0,0.0,0.0
Belief,Control,R_3iyd3J4oxID4eLX,0.5,0.7,0.19999999999999996
Belief,Control,R_3j0DJxs3fYwYxG2,0.2,0.65,0.45
Belief,Control,R_3kijP3g3eVoMAXy,1.0,1.0,0.0
Belief,Control,R_3lKPakzZDDRj6L0,0.05,0.85,0.7999999999999999
Belief,Control,R_3nGY2XQGMqf7ukc,0.35,0.8,0.45000000000000007
Belief,Control,R_3nIMXnnr7htUNKU,0.75,0.95,0.19999999999999996
Belief,Control,R_3nMnD8BoVs4juFU,0.1,0.8,0.7000000000000001
Belief,Control,R_3nT6T76ZN0bwgLS,0.1,0.4,0.30000000000000004
Belief,Control,R_3nrvAwisudykOx9,0.1,0.65,0.55
Belief,Control,R_3oTIzNFgDw1yk6T,0.35,0.5,0.15000000000000002
Belief,Control,R_3p2SCBfNEGUMRKV,0.15,0.35,0.19999999999999998
Belief,Control,R_3po4AXE4u4YgkHJ,0.5,0.8,0.30000000000000004
Belief,Control,R_3q8TXqHGrsfbLJw,0.25,0.4,0.15000000000000002
Belief,Control,R_3qWmiWH4OIoutAV,0.05,0.3,0.25
Belief,Control,R_3qmqbUhdLIrC6oM,0.05,0.15,0.09999999999999999
Belief,Control,R_3rJq08ewA3DZo1L,1.0,1.0,0.0
Belief,Control,R_3rNYvKoNyh0eyLM,0.05,0.3,0.25
Belief,Control,R_3sixgDdbbqCcejY,0.0,0.6,0.6
Belief,Control,R_3snSceUACabjODF,0.95,1.0,0.050000000000000044
Belief,Control,R_5vU3SZJ4gXzNYSR,0.0,0.35,0.35
Belief,Control,R_6MtvAdy4MdUXzEZ,0.15,0.75,0.6
Belief,Control,R_6lNv6rmSZm8Dfz3,0.0,0.65,0.65
Belief,Control,R_6tfVM9s8nsOXual,0.2,0.55,0.35000000000000003
Belief,Control,R_77gwYdT30my4mXv,0.7,0.6,-0.09999999999999998
Belief,Control,R_8ImiSHkKyj0Xb8t,0.0,0.95,0.95
Belief,Control,R_8rjKGYyemynpTnH,0.15,0.6,0.44999999999999996
Belief,Control,R_9BLhilxhWXhagZr,1.0,1.0,0.0
Belief,Control,R_ALQEVn42eOwYAzn,0.0,0.0,0.0
Belief,Control,R_AM2MF52Afn4sng5,0.2,0.05,-0.15000000000000002
Belief,Control,R_Aioos9cJ1TURSc9,0.1,0.85,0.75
Belief,Control,R_Ao0DKMqBJIl16g1,0.8,0.7,-0.10000000000000009
Belief,Control,R_O2yMp9XOIsB85Zn,0.1,1.0,0.9
Belief,Control,R_O9feztrFSKXGKhb,0.0,0.4,0.4
Belief,Control,R_ONcPuiyO65avCql,0.65,0.95,0.29999999999999993
Belief,Control,R_OfmikPVoWaYfvDb,0.15,0.55,0.4
Belief,Control,R_PCA5fQtUrUoI2zv,0.0,0.6,0.6
Belief,Control,R_QfVWoarDFDZPdOp,0.05,1.0,0.95
Belief,Control,R_QiuDRgYBEIJ4AGl,0.05,0.85,0.7999999999999999
Belief,Control,R_RDKSus88HqWZuAp,0.0,0.45,0.45
Belief,Control,R_RhiQx2F226xcT0R,0.95,0.95,0.0
Belief,Control,R_RqRP0gbl3ncZYGJ,0.3,0.8,0.5
Belief,Control,R_Rw9DgD1YRbsmpxL,0.05,0.5,0.45
Belief,Control,R_SCTIJpHYMkyl4ad,1.0,1.0,0.0
Belief,Control,R_SHUubxwcbiMSemB,0.0,0.85,0.85
Belief,Control,R_Td4zADzVtioK4g1,0.25,0.95,0.7
Belief,Control,R_U9XWSbtRFXNfm93,0.0,0.55,0.55
Belief,Control,R_UH1DFlXD9JNJB4J,0.1,0.85,0.75
Belief,Control,R_UchpxYkTRe5j8Yx,0.15,0.8,0.65
Belief,Control,R_VPfKi3gJIKpSs1P,0.1,0.85,0.75
Belief,Control,R_WBhq1WzAw824f9n,0.05,0.45,0.4
Belief,Control,R_XTJrfOs9RO0shYl,0.1,0.95,0.85
Belief,Control,R_Y3pt2LJbZB1rBLP,0.3,0.65,0.35000000000000003
Belief,Control,R_YWZmxm3K0yyX6i5,0.0,0.55,0.55
Belief,Control,R_ZJhK3QuOELS2FTr,0.05,0.65,0.6
Belief,Control,R_ZxUYVoRf393AHDP,0.15,0.6,0.44999999999999996
Belief,Control,R_bEf0rqcJ6BEsv8l,0.05,0.6,0.5499999999999999
Belief,Control,R_bIXGiXjPyziAvXr,0.0,0.0,0.0
Belief,Control,R_cAOjKlZkIuB8KHf,1.0,1.0,0.0
Belief,Control,R_cunMkckrVig08N3,0.05,0.45,0.4
Belief,Control,R_eA1mrTKPP2heA5r,0.7,0.65,-0.04999999999999993
Belief,Control,R_eL5VU8XzHiPxF2V,0.9,0.75,-0.15000000000000002
Belief,Control,R_eXx7TmgtFagkw0x,0.3,0.7,0.39999999999999997
Belief,Control,R_egFfuS2VXUONCtb,0.0,0.9,0.9
Belief,Control,R_qDAh0sgBG390m41,0.0,0.7,0.7
Belief,Control,R_qEr50UIldInWrlv,0.0,0.5,0.5
Belief,Control,R_rkX84sf9sPn3zz3,0.4,0.85,0.44999999999999996
Belief,Control,R_sZ6te35jBYGtRMl,1.0,1.0,0.0
Belief,Control,R_shVO4f09h6SioSZ,1.0,1.0,0.0
Belief,Control,R_shzbYd41xuhjYcN,1.0,1.0,0.0
Belief,Control,R_snhWL8qRPWBK2U9,0.25,0.7,0.44999999999999996
Belief,Control,R_tRLACikonwi3YIx,0.8,0.85,0.04999999999999993
Belief,Control,R_u34fjdmvTZOAFtT,0.05,0.6,0.5499999999999999
Belief,Control,R_ukQRlY9UvvjRh3r,1.0,1.0,0.0
Belief,Control,R_uqbhRxEVZ8HSfqV,0.55,0.8,0.25
Belief,Control,R_vNxY9ESHdfKEsvf,1.0,1.0,0.0
Belief,Control,R_vqzrRGiC4dv3vAl,0.4,0.75,0.35
Belief,Control,R_vwRdbJyIBiuRwbv,0.2,0.5,0.3
Belief,Control,R_x3mmKeFGqRvQi4h,0.1,0.85,0.75
Belief,Control,R_x5vpmGcx1gLavvz,0.0,0.45,0.45
Belief,Control,R_z265vP8gOZzHG0x,0.25,0.8,0.55
Belief,Control,R_z6h5qm430igGXvz,0.0,0.8,0.8
Belief,Control,R_zZIFpy7JnbsRuRX,0.1,0.95,0.85
Belief,Forced,R_0Bc1jBXENk4QsUx,0.0,0.75,0.75
Belief,Forced,R_0CmE8ILKb3rnkZj,0.0,0.65,0.65
Belief,Forced,R_10ovwYBaGM0xnls,0.7,0.6,-0.09999999999999998
Belief,Forced,R_11ZPkDGg71kZVkg,1.0,0.75,-0.25
Belief,Forced,R_11dVWuHHTU0HxYq,0.8,0.95,0.1499999999999999
Belief,Forced,R_122VdH3MjD4Au49,0.1,0.7,0.6
Belief,Forced,R_12LSwS5ypWAjTcC,0.0,0.5,0.5
Belief,Forced,R_12tGdxBqyCmFCPi,0.05,0.15,0.09999999999999999
Belief,Forced,R_1C44xhXMgiwpkSC,0.45,0.45,0.0
Belief,Forced,R_1Cj70ollp5Ohhey,0.0,0.75,0.75
Belief,Forced,R_1DT5X2Gw83KF49Z,0.1,0.45,0.35
Belief,Forced,R_1Ebb3TefBBok4kd,0.1,0.45,0.35
Belief,Forced,R_1FQIv18sgzO04Uy,1.0,1.0,0.0
Belief,Forced,R_1FSeb7hRTPsSltU,0.0,0.05,0.05
Belief,Forced,R_1Fgi3oz8PbbYZaH,0.05,0.6,0.5499999999999999
Belief,Forced,R_1FhvYfsDJx7Zeso,0.55,0.7,0.1499999999999999
Belief,Forced,R_1GVLFMYL8pQwRJE,0.85,0.65,-0.19999999999999996
Belief,Forced,R_1I6l3GHmiaif5XH,0.9,0.9,0.0
Belief,Forced,R_1IK68ky1jZboYr4,1.0,1.0,0.0
Belief,Forced,R_1K27UHvZ2BeYEXU,0.55,0.85,0.29999999999999993
Belief,Forced,R_1K8qHl2DnKMhmL9,0.75,0.75,0.0
Belief,Forced,R_1KfpX18HYqwqFPb,1.0,1.0,0.0
Belief,Forced,R_1KpUp2fx6UU8z5R,0.7,0.7,0.0
Belief,Forced,R_1KvzkF91snBbWep,0.15,0.9,0.75
Belief,Forced,R_1Kw0IOKmSFpKjgE,0.35,0.45,0.10000000000000003
Belief,Forced,R_1LSS3tbya0TnWNF,0.0,0.7,0.7
Belief,Forced,R_1M0bvNBcJhkUGSd,0.0,0.5,0.5
Belief,Forced,R_1N4FgTiVCWWARFc,0.15,0.6,0.44999999999999996
Belief,Forced,R_1N9WO1Ru9up4Q5o,0.0,0.55,0.55
Belief,Forced,R_1NrDVyQDrmeD3Mp,0.05,0.45,0.4
Belief,Forced,R_1Nt5XLGcv51FQGG,0.75,0.7,-0.050000000000000044
Belief,Forced,R_1OBL1arUUMu7VXD,0.35,0.5,0.15000000000000002
Belief,Forced,R_1PRuWtRRwTlzhm9,0.4,0.8,0.4
Belief,Forced,R_1Q4x1LBIyOnNDz2,0.3,0.65,0.35000000000000003
Belief,Forced,R_1QFN8CELXvCayVm,0.15,0.6,0.44999999999999996
Belief,Forced,R_1Qn4Hy0DGFRLPtx,0.0,0.15,0.15
Belief,Forced,R_1cU29NEUV6sSSps,0.0,0.85,0.85
Belief,Forced,R_1d46m6JbN0eILTz,0.0,0.6,0.6
Belief,Forced,R_1f33GggvEmy91BO,0.65,0.85,0.19999999999999996
Belief,Forced,R_1fiTy03KsbADHDL,1.0,1.0,0.0
Belief,Forced,R_1g0ycN2jU5tQwgP,0.6,0.75,0.15000000000000002
Belief,Forced,R_1g7R2s4nAJ4mSnj,0.05,0.85,0.7999999999999999
Belief,Forced,R_1gnppA8ylM8xV72,0.2,0.7,0.49999999999999994
Belief,Forced,R_1hGx37e920y6O0Z,0.0,0.6,0.6
Belief,Forced,R_1isWCjIMTWijjF6,0.6,0.55,-0.04999999999999993
Belief,Forced,R_1jfgBSlaobMCkAP,0.25,0.75,0.5
Belief,Forced,R_1lnueOyMCaiJI8z,0.5,0.7,0.19999999999999996
Belief,Forced,R_1lrGfI94VMAeOHv,0.0,0.4,0.4
Belief,Forced,R_1mJGQEdTcEub9JK,0.0,0.5,0.5
Belief,Forced,R_1mt7xId8XELW0U9,0.15,0.9,0.75
Belief,Forced,R_1nPhEMmBxXKOhft,1.0,1.0,0.0
Belief,Forced,R_1pAkGKfwM64anj9,0.05,0.65,0.6
Belief,Forced,R_1pApkjnZPCuatRn,1.0,1.0,0.0
Belief,Forced,R_1pEe5sw91iWEtur,0.0,0.35,0.35
Belief,Forced,R_1pyWdNPP6n1NB0Z,0.2,0.95,0.75
Belief,Forced,R_1qepZ5ftz0nD02P,0.15,0.7,0.5499999999999999
Belief,Forced,R_1qgrGJgYyIZXy6q,0.0,0.65,0.65
Belief,Forced,R_1r0yU00xf162su3,0.05,0.75,0.7
Belief,Forced,R_1r9eJlEm7zQPtWY,0.55,0.65,0.09999999999999998
Belief,Forced,R_1r9pHha4rUJZqku,0.0,0.45,0.45
Belief,Forced,R_1rJGNGHOvpIMz25,0.05,0.65,0.6
Belief,Forced,R_1rdhoZw7el65nfB,0.0,0.6,0.6
Belief,Forced,R_1rk9GR5EW4dDm1i,1.0,0.9,-0.09999999999999998
Belief,Forced,R_20STv6lIzKN9VgL,0.95,1.0,0.050000000000000044
Belief,Forced,R_20TcMzNl1NynlTu,0.05,0.65,0.6
Belief,Forced,R_210PxWRKSLdfsio,0.55,0.4,-0.15000000000000002
Belief,Forced,R_21hxw0AA2G4Wj8X,0.0,0.65,0.65
Belief,Forced,R_22GhkKq2plx7B0a,0.05,0.65,0.6
Belief,Forced,R_22R1tXq19pFjppJ,0.0,0.6,0.6
Belief,Forced,R_22WYDe9Y5OTGlJE,1.0,1.0,0.0
Belief,Forced,R_237FJDljjphVrXG,0.0,0.5,0.5
Belief,Forced,R_23VSu1TQZNgaVLp,0.45,0.75,0.3
Belief,Forced,R_23WWCPMJBEr6RSo,0.6,0.75,0.15000000000000002
Belief,Forced,R_23adZAE4kUmvqU9,0.6,0.65,0.050000000000000044
Belief,Forced,R_24Geyjsead5YKKk,0.35,0.65,0.30000000000000004
Belief,Forced,R_25GfcD8A7Ak2QPO,0.0,0.55,0.55
Belief,Forced,R_25uAyaI4nAjasQI,0.2,0.4,0.2
Belief,Forced,R_25yDSIYIl4hA6r6,0.05,0.9,0.85
Belief,Forced,R_26o8It1q7cP36dB,0.1,0.75,0.65
Belief,Forced,R_27OpAhyoZEEtFr0,0.55,0.55,0.0
Belief,Forced,R_28U1vTCiQtoevI6,1.0,1.0,0.0
Belief,Forced,R_2B8S5OFH4pK6J9I,0.4,0.6,0.19999999999999996
Belief,Forced,R_2BgnHMdSsHZQ36h,0.55,0.45,-0.10000000000000003
Belief,Forced,R_2CQiOlP18j1dOQE,0.45,0.7,0.24999999999999994
Belief,Forced,R_2DYbMKhaVZXwDvA,0.2,0.55,0.35000000000000003
Belief,Forced,R_2E06so0zwGNMmvq,1.0,0.9,-0.09999999999999998
Belief,Forced,R_2EoefVULqiUS0F4,0.1,0.95,0.85
Belief,Forced,R_2OHKUGnbKl6M2DH,0.95,1.0,0.050000000000000044
Belief,Forced,R_2OJxXZl9c9MQUtC,1.0,1.0,0.0
Belief,Forced,R_2P1NPjbeSFAnSTS,0.05,0.65,0.6
Belief,Forced,R_2R8hvTgIHkgxRnC,0.2,0.65,0.45
Belief,Forced,R_2S2Frf8jFZBef5V,0.0,0.75,0.75
Belief,Forced,R_2SkN7zdUoMHWjUF,0.05,0.4,0.35000000000000003
Belief,Forced,R_2TLDFDFtM16b7o8,0.05,0.85,0.7999999999999999
Belief,Forced,R_2Ve8Z6W6WgFhK33,0.05,0.5,0.45
Belief,Forced,R_2VlQusdPt0mP3At,1.0,1.0,0.0
Belief,Forced,R_2WA84936XEmtjRf,0.15,0.65,0.5
Belief,Forced,R_2YR5Ja4U8RPQssV,0.0,0.85,0.85
Belief,Forced,R_2YYfuwblxMrD4fQ,0.05,0.6,0.5499999999999999
Belief,Forced,R_2ZKqMjLDfZw6LEG,0.05,0.75,0.7
Belief,Forced,R_2cASjbdSpfsiGue,1.0,1.0,0.0
Belief,Forced,R_2cd2nhzrEAaZihG,0.95,1.0,0.050000000000000044
Belief,Forced,R_2dA55Tso18P28s0,1.0,1.0,0.0
Belief,Forced,R_2fpTekrUBgdrbcc,0.0,0.5,0.5
Belief,Forced,R_2i2mZYgquigqszD,1.0,1.0,0.0
Belief,Forced,R_2pSlELGzq07IHHq,0.0,0.85,0.85
Belief,Forced,R_2q4RkodvCOSHDCY,0.5,0.7,0.19999999999999996
Belief,Forced,R_2sXC6fn7yBN1YPi,0.0,0.65,0.65
Belief,Forced,R_2sd2gR3olTKsDMj,0.2,0.65,0.45
Belief,Forced,R_2tnyLsmG6TsmqKB,0.65,0.8,0.15000000000000002
Belief,Forced,R_2uCofAxKAfdgh9j,1.0,1.0,0.0
Belief,Forced,R_2usn4SaHn8LFq8N,0.05,0.75,0.7
Belief,Forced,R_2vcu0XZd1h6nJj4,0.1,0.6,0.5
Belief,Forced,R_2w7aoowrCiTtmdv,0.05,0.65,0.6
Belief,Forced,R_2wREMPoxWZChMtF,0.0,0.45,0.45
Belief,Forced,R_2wcdCUzwTjz0AVE,0.1,0.65,0.55
Belief,Forced,R_2xYvUa0EoZPNnRe,0.15,0.75,0.6
Belief,Forced,R_2y48mfECdKEBVUB,0.05,0.6,0.5499999999999999
Belief,Forced,R_2yfKLRIf1iBgx0W,0.05,0.55,0.5
Belief,Forced,R_2ysjMh1oXhA05l4,0.1,0.9,0.8
Belief,Forced,R_2z6oAKhvkzqBSd4,0.6,0.25,-0.35
Belief,Forced,R_2zI66178UEOnNQ8,0.15,0.3,0.15
Belief,Forced,R_2zUbwHdWOGrXRQL,0.0,0.4,0.4
